,ages_ranges,audience,behavior,citizenship,genders,relationship_statuses,scholarities,timestamp,topic,location
2142,18-24,640,ALL,India,1.0,NOTSELECTED,Graduated,1489924519,fitness and wellness,DZ
2143,25-44,1200,ALL,India,1.0,NOTSELECTED,Graduated,1489924519,fitness and wellness,DZ
2144,45+,190,ALL,India,1.0,NOTSELECTED,Graduated,1489924519,fitness and wellness,DZ
2145,18-24,320,ALL,India,2.0,NOTSELECTED,Graduated,1489924519,fitness and wellness,DZ
2146,25-44,270,ALL,India,2.0,NOTSELECTED,Graduated,1489924519,fitness and wellness,DZ
2147,45+,40,ALL,India,2.0,NOTSELECTED,Graduated,1489924519,fitness and wellness,DZ
2148,18-24,600,ALL,India,1.0,NOTSELECTED,No Degree,1489924519,fitness and wellness,DZ
2149,25-44,1100,ALL,India,1.0,NOTSELECTED,No Degree,1489924519,fitness and wellness,DZ
2150,45+,170,ALL,India,1.0,NOTSELECTED,No Degree,1489924519,fitness and wellness,DZ
2151,18-24,400,ALL,India,2.0,NOTSELECTED,No Degree,1489924519,fitness and wellness,DZ
2152,25-44,400,ALL,India,2.0,NOTSELECTED,No Degree,1489924519,fitness and wellness,DZ
2153,45+,80,ALL,India,2.0,NOTSELECTED,No Degree,1489924519,fitness and wellness,DZ
2154,18-24,280,ALL,India,1.0,NOTSELECTED,High School,1489924519,fitness and wellness,DZ
2155,25-44,180,ALL,India,1.0,NOTSELECTED,High School,1489924519,fitness and wellness,DZ
2156,45+,30,ALL,India,1.0,NOTSELECTED,High School,1489924519,fitness and wellness,DZ
2157,18-24,180,ALL,India,2.0,NOTSELECTED,High School,1489924519,fitness and wellness,DZ
2158,25-44,50,ALL,India,2.0,NOTSELECTED,High School,1489924519,fitness and wellness,DZ
2159,45+,0,ALL,India,2.0,NOTSELECTED,High School,1489924519,fitness and wellness,DZ
2160,18-24,270,ALL,Bangladesh,1.0,NOTSELECTED,Graduated,1489924519,fitness and wellness,DZ
2161,25-44,390,ALL,Bangladesh,1.0,NOTSELECTED,Graduated,1489924519,fitness and wellness,DZ
2162,45+,30,ALL,Bangladesh,1.0,NOTSELECTED,Graduated,1489924519,fitness and wellness,DZ
2163,18-24,60,ALL,Bangladesh,2.0,NOTSELECTED,Graduated,1489924519,fitness and wellness,DZ
2164,25-44,40,ALL,Bangladesh,2.0,NOTSELECTED,Graduated,1489924519,fitness and wellness,DZ
2165,45+,0,ALL,Bangladesh,2.0,NOTSELECTED,Graduated,1489924519,fitness and wellness,DZ
2166,18-24,290,ALL,Bangladesh,1.0,NOTSELECTED,No Degree,1489924519,fitness and wellness,DZ
2167,25-44,490,ALL,Bangladesh,1.0,NOTSELECTED,No Degree,1489924519,fitness and wellness,DZ
2168,45+,90,ALL,Bangladesh,1.0,NOTSELECTED,No Degree,1489924519,fitness and wellness,DZ
2169,18-24,80,ALL,Bangladesh,2.0,NOTSELECTED,No Degree,1489924519,fitness and wellness,DZ
2170,25-44,180,ALL,Bangladesh,2.0,NOTSELECTED,No Degree,1489924519,fitness and wellness,DZ
2171,45+,0,ALL,Bangladesh,2.0,NOTSELECTED,No Degree,1489924519,fitness and wellness,DZ
2172,18-24,50,ALL,Bangladesh,1.0,NOTSELECTED,High School,1489924519,fitness and wellness,DZ
2173,25-44,90,ALL,Bangladesh,1.0,NOTSELECTED,High School,1489924519,fitness and wellness,DZ
