,ages_ranges,genders,behavior,scholarities,relationship_statuses,audience,timestamp,publisher_platforms,topic,location
7344,18-24,1,Expats,Graduated,NOTSELECTED,12000,1494418491,['facebook'],fast food,"{""values"": [""DZ""], ""name"": ""countries"", ""location_types"": [""home""]}"
7345,25-44,1,Expats,Graduated,NOTSELECTED,11000,1494418491,['facebook'],fast food,"{""values"": [""DZ""], ""name"": ""countries"", ""location_types"": [""home""]}"
7346,45+,1,Expats,Graduated,NOTSELECTED,1200,1494418491,['facebook'],fast food,"{""values"": [""DZ""], ""name"": ""countries"", ""location_types"": [""home""]}"
7347,18-24,2,Expats,Graduated,NOTSELECTED,6000,1494418491,['facebook'],fast food,"{""values"": [""DZ""], ""name"": ""countries"", ""location_types"": [""home""]}"
7348,25-44,2,Expats,Graduated,NOTSELECTED,4000,1494418491,['facebook'],fast food,"{""values"": [""DZ""], ""name"": ""countries"", ""location_types"": [""home""]}"
7349,45+,2,Expats,Graduated,NOTSELECTED,540,1494418491,['facebook'],fast food,"{""values"": [""DZ""], ""name"": ""countries"", ""location_types"": [""home""]}"
7350,18-24,1,Expats,No Degree,NOTSELECTED,680,1494418491,['facebook'],fast food,"{""values"": [""DZ""], ""name"": ""countries"", ""location_types"": [""home""]}"
7351,25-44,1,Expats,No Degree,NOTSELECTED,260,1494418491,['facebook'],fast food,"{""values"": [""DZ""], ""name"": ""countries"", ""location_types"": [""home""]}"
7352,45+,1,Expats,No Degree,NOTSELECTED,0,1494418491,['facebook'],fast food,"{""values"": [""DZ""], ""name"": ""countries"", ""location_types"": [""home""]}"
7353,18-24,2,Expats,No Degree,NOTSELECTED,540,1494418491,['facebook'],fast food,"{""values"": [""DZ""], ""name"": ""countries"", ""location_types"": [""home""]}"
7354,25-44,2,Expats,No Degree,NOTSELECTED,90,1494418491,['facebook'],fast food,"{""values"": [""DZ""], ""name"": ""countries"", ""location_types"": [""home""]}"
7355,45+,2,Expats,No Degree,NOTSELECTED,40,1494418491,['facebook'],fast food,"{""values"": [""DZ""], ""name"": ""countries"", ""location_types"": [""home""]}"
7356,18-24,1,Expats,High School,NOTSELECTED,5100,1494418491,['facebook'],fast food,"{""values"": [""DZ""], ""name"": ""countries"", ""location_types"": [""home""]}"
7357,25-44,1,Expats,High School,NOTSELECTED,2600,1494418491,['facebook'],fast food,"{""values"": [""DZ""], ""name"": ""countries"", ""location_types"": [""home""]}"
7358,45+,1,Expats,High School,NOTSELECTED,430,1494418491,['facebook'],fast food,"{""values"": [""DZ""], ""name"": ""countries"", ""location_types"": [""home""]}"
7359,18-24,2,Expats,High School,NOTSELECTED,3100,1494418491,['facebook'],fast food,"{""values"": [""DZ""], ""name"": ""countries"", ""location_types"": [""home""]}"
7360,25-44,2,Expats,High School,NOTSELECTED,1100,1494418491,['facebook'],fast food,"{""values"": [""DZ""], ""name"": ""countries"", ""location_types"": [""home""]}"
7361,45+,2,Expats,High School,NOTSELECTED,220,1494418491,['facebook'],fast food,"{""values"": [""DZ""], ""name"": ""countries"", ""location_types"": [""home""]}"
7362,18-24,1,Expats,UNSPECIFIED,NOTSELECTED,4600,1494418491,['facebook'],fast food,"{""values"": [""DZ""], ""name"": ""countries"", ""location_types"": [""home""]}"
7363,25-44,1,Expats,UNSPECIFIED,NOTSELECTED,6000,1494418491,['facebook'],fast food,"{""values"": [""DZ""], ""name"": ""countries"", ""location_types"": [""home""]}"
7364,45+,1,Expats,UNSPECIFIED,NOTSELECTED,970,1494418491,['facebook'],fast food,"{""values"": [""DZ""], ""name"": ""countries"", ""location_types"": [""home""]}"
7365,18-24,2,Expats,UNSPECIFIED,NOTSELECTED,3300,1494418491,['facebook'],fast food,"{""values"": [""DZ""], ""name"": ""countries"", ""location_types"": [""home""]}"
7366,25-44,2,Expats,UNSPECIFIED,NOTSELECTED,4000,1494418491,['facebook'],fast food,"{""values"": [""DZ""], ""name"": ""countries"", ""location_types"": [""home""]}"
7367,45+,2,Expats,UNSPECIFIED,NOTSELECTED,800,1494418491,['facebook'],fast food,"{""values"": [""DZ""], ""name"": ""countries"", ""location_types"": [""home""]}"
7368,18-24,1,Locals,Graduated,NOTSELECTED,36000,1494418491,['facebook'],fast food,"{""values"": [""DZ""], ""name"": ""countries"", ""location_types"": [""home""]}"
7369,25-44,1,Locals,Graduated,NOTSELECTED,55000,1494418491,['facebook'],fast food,"{""values"": [""DZ""], ""name"": ""countries"", ""location_types"": [""home""]}"
7370,45+,1,Locals,Graduated,NOTSELECTED,4000,1494418491,['facebook'],fast food,"{""values"": [""DZ""], ""name"": ""countries"", ""location_types"": [""home""]}"
7371,18-24,2,Locals,Graduated,NOTSELECTED,41000,1494418491,['facebook'],fast food,"{""values"": [""DZ""], ""name"": ""countries"", ""location_types"": [""home""]}"
7372,25-44,2,Locals,Graduated,NOTSELECTED,53000,1494418491,['facebook'],fast food,"{""values"": [""DZ""], ""name"": ""countries"", ""location_types"": [""home""]}"
7373,45+,2,Locals,Graduated,NOTSELECTED,4500,1494418491,['facebook'],fast food,"{""values"": [""DZ""], ""name"": ""countries"", ""location_types"": [""home""]}"
7374,18-24,1,Locals,No Degree,NOTSELECTED,2700,1494418491,['facebook'],fast food,"{""values"": [""DZ""], ""name"": ""countries"", ""location_types"": [""home""]}"
7375,25-44,1,Locals,No Degree,NOTSELECTED,1600,1494418491,['facebook'],fast food,"{""values"": [""DZ""], ""name"": ""countries"", ""location_types"": [""home""]}"
7376,45+,1,Locals,No Degree,NOTSELECTED,160,1494418491,['facebook'],fast food,"{""values"": [""DZ""], ""name"": ""countries"", ""location_types"": [""home""]}"
7377,18-24,2,Locals,No Degree,NOTSELECTED,2900,1494418491,['facebook'],fast food,"{""values"": [""DZ""], ""name"": ""countries"", ""location_types"": [""home""]}"
7378,25-44,2,Locals,No Degree,NOTSELECTED,1300,1494418491,['facebook'],fast food,"{""values"": [""DZ""], ""name"": ""countries"", ""location_types"": [""home""]}"
7379,45+,2,Locals,No Degree,NOTSELECTED,300,1494418491,['facebook'],fast food,"{""values"": [""DZ""], ""name"": ""countries"", ""location_types"": [""home""]}"
7380,18-24,1,Locals,High School,NOTSELECTED,20000,1494418491,['facebook'],fast food,"{""values"": [""DZ""], ""name"": ""countries"", ""location_types"": [""home""]}"
7381,25-44,1,Locals,High School,NOTSELECTED,15000,1494418491,['facebook'],fast food,"{""values"": [""DZ""], ""name"": ""countries"", ""location_types"": [""home""]}"
7382,45+,1,Locals,High School,NOTSELECTED,1400,1494418491,['facebook'],fast food,"{""values"": [""DZ""], ""name"": ""countries"", ""location_types"": [""home""]}"
7383,18-24,2,Locals,High School,NOTSELECTED,25000,1494418491,['facebook'],fast food,"{""values"": [""DZ""], ""name"": ""countries"", ""location_types"": [""home""]}"
7384,25-44,2,Locals,High School,NOTSELECTED,12000,1494418491,['facebook'],fast food,"{""values"": [""DZ""], ""name"": ""countries"", ""location_types"": [""home""]}"
7385,45+,2,Locals,High School,NOTSELECTED,2200,1494418491,['facebook'],fast food,"{""values"": [""DZ""], ""name"": ""countries"", ""location_types"": [""home""]}"
7386,18-24,1,Locals,UNSPECIFIED,NOTSELECTED,26000,1494418491,['facebook'],fast food,"{""values"": [""DZ""], ""name"": ""countries"", ""location_types"": [""home""]}"
7387,25-44,1,Locals,UNSPECIFIED,NOTSELECTED,46000,1494418491,['facebook'],fast food,"{""values"": [""DZ""], ""name"": ""countries"", ""location_types"": [""home""]}"
7388,45+,1,Locals,UNSPECIFIED,NOTSELECTED,5500,1494418491,['facebook'],fast food,"{""values"": [""DZ""], ""name"": ""countries"", ""location_types"": [""home""]}"
7389,18-24,2,Locals,UNSPECIFIED,NOTSELECTED,38000,1494418491,['facebook'],fast food,"{""values"": [""DZ""], ""name"": ""countries"", ""location_types"": [""home""]}"
7390,25-44,2,Locals,UNSPECIFIED,NOTSELECTED,52000,1494418491,['facebook'],fast food,"{""values"": [""DZ""], ""name"": ""countries"", ""location_types"": [""home""]}"
7391,45+,2,Locals,UNSPECIFIED,NOTSELECTED,8200,1494418491,['facebook'],fast food,"{""values"": [""DZ""], ""name"": ""countries"", ""location_types"": [""home""]}"
7392,18-24,1,Expats,Graduated,NOTSELECTED,6000,1494418491,['facebook'],fast food,"{""values"": [""BH""], ""name"": ""countries"", ""location_types"": [""home""]}"
7393,25-44,1,Expats,Graduated,NOTSELECTED,25000,1494418491,['facebook'],fast food,"{""values"": [""BH""], ""name"": ""countries"", ""location_types"": [""home""]}"
7394,45+,1,Expats,Graduated,NOTSELECTED,1600,1494418491,['facebook'],fast food,"{""values"": [""BH""], ""name"": ""countries"", ""location_types"": [""home""]}"
7395,18-24,2,Expats,Graduated,NOTSELECTED,2200,1494418491,['facebook'],fast food,"{""values"": [""BH""], ""name"": ""countries"", ""location_types"": [""home""]}"
7396,25-44,2,Expats,Graduated,NOTSELECTED,17000,1494418491,['facebook'],fast food,"{""values"": [""BH""], ""name"": ""countries"", ""location_types"": [""home""]}"
7397,45+,2,Expats,Graduated,NOTSELECTED,1900,1494418491,['facebook'],fast food,"{""values"": [""BH""], ""name"": ""countries"", ""location_types"": [""home""]}"
7398,18-24,1,Expats,No Degree,NOTSELECTED,470,1494418491,['facebook'],fast food,"{""values"": [""BH""], ""name"": ""countries"", ""location_types"": [""home""]}"
7399,25-44,1,Expats,No Degree,NOTSELECTED,950,1494418491,['facebook'],fast food,"{""values"": [""BH""], ""name"": ""countries"", ""location_types"": [""home""]}"
