,topic,audience,country_code,citizenship,gender,is_denominator,scholarity,age_range
1292,no_interest_selected,980000,DZ,Locals,Male,True,GRAD,18-24
1293,no_interest_selected,14000,BH,Locals,Male,True,GRAD,18-24
1294,no_interest_selected,2400000,EG,Locals,Male,True,GRAD,18-24
1295,no_interest_selected,960000,IQ,Locals,Male,True,GRAD,18-24
1296,no_interest_selected,230000,JO,Locals,Male,True,GRAD,18-24
1297,no_interest_selected,18000,KW,Locals,Male,True,GRAD,18-24
1298,no_interest_selected,91000,LB,Locals,Male,True,GRAD,18-24
1299,no_interest_selected,140000,LY,Locals,Male,True,GRAD,18-24
1300,no_interest_selected,1000000,MA,Locals,Male,True,GRAD,18-24
1301,no_interest_selected,42000,OM,Locals,Male,True,GRAD,18-24
1302,no_interest_selected,24000,QA,Locals,Male,True,GRAD,18-24
1303,no_interest_selected,410000,SA,Locals,Male,True,GRAD,18-24
1304,no_interest_selected,61000,SO,Locals,Male,True,GRAD,18-24
1305,no_interest_selected,320000,TN,Locals,Male,True,GRAD,18-24
1306,no_interest_selected,83000,AE,Locals,Male,True,GRAD,18-24
1307,no_interest_selected,170000,YE,Locals,Male,True,GRAD,18-24
1308,no_interest_selected,95000,PS,Locals,Male,True,GRAD,18-24
1411,no_interest_selected,2000000,DZ,Locals,Male,True,ND,18-24
1412,no_interest_selected,55000,BH,Locals,Male,True,ND,18-24
1413,no_interest_selected,3000000,EG,Locals,Male,True,ND,18-24
1414,no_interest_selected,2300000,IQ,Locals,Male,True,ND,18-24
1415,no_interest_selected,420000,JO,Locals,Male,True,ND,18-24
1416,no_interest_selected,140000,KW,Locals,Male,True,ND,18-24
1417,no_interest_selected,290000,LB,Locals,Male,True,ND,18-24
1418,no_interest_selected,240000,LY,Locals,Male,True,ND,18-24
1419,no_interest_selected,1500000,MA,Locals,Male,True,ND,18-24
1420,no_interest_selected,170000,OM,Locals,Male,True,ND,18-24
1421,no_interest_selected,110000,QA,Locals,Male,True,ND,18-24
1422,no_interest_selected,2400000,SA,Locals,Male,True,ND,18-24
1423,no_interest_selected,140000,SO,Locals,Male,True,ND,18-24
1424,no_interest_selected,480000,TN,Locals,Male,True,ND,18-24
1425,no_interest_selected,330000,AE,Locals,Male,True,ND,18-24
1426,no_interest_selected,370000,YE,Locals,Male,True,ND,18-24
1427,no_interest_selected,110000,PS,Locals,Male,True,ND,18-24
1530,no_interest_selected,440000,DZ,Locals,Male,True,HS,18-24
1531,no_interest_selected,9800,BH,Locals,Male,True,HS,18-24
1532,no_interest_selected,1300000,EG,Locals,Male,True,HS,18-24
1533,no_interest_selected,560000,IQ,Locals,Male,True,HS,18-24
1534,no_interest_selected,160000,JO,Locals,Male,True,HS,18-24
1535,no_interest_selected,12000,KW,Locals,Male,True,HS,18-24
1536,no_interest_selected,69000,LB,Locals,Male,True,HS,18-24
1537,no_interest_selected,75000,LY,Locals,Male,True,HS,18-24
1538,no_interest_selected,440000,MA,Locals,Male,True,HS,18-24
1539,no_interest_selected,23000,OM,Locals,Male,True,HS,18-24
1540,no_interest_selected,11000,QA,Locals,Male,True,HS,18-24
1541,no_interest_selected,240000,SA,Locals,Male,True,HS,18-24
1542,no_interest_selected,20000,SO,Locals,Male,True,HS,18-24
1543,no_interest_selected,170000,TN,Locals,Male,True,HS,18-24
1544,no_interest_selected,39000,AE,Locals,Male,True,HS,18-24
1545,no_interest_selected,100000,YE,Locals,Male,True,HS,18-24
1546,no_interest_selected,57000,PS,Locals,Male,True,HS,18-24
2482,no_interest_selected,730000,DZ,Locals,Female,True,GRAD,18-24
2483,no_interest_selected,8900,BH,Locals,Female,True,GRAD,18-24
2484,no_interest_selected,1600000,EG,Locals,Female,True,GRAD,18-24
2485,no_interest_selected,360000,IQ,Locals,Female,True,GRAD,18-24
2486,no_interest_selected,170000,JO,Locals,Female,True,GRAD,18-24
2487,no_interest_selected,11000,KW,Locals,Female,True,GRAD,18-24
2488,no_interest_selected,80000,LB,Locals,Female,True,GRAD,18-24
2489,no_interest_selected,110000,LY,Locals,Female,True,GRAD,18-24
2490,no_interest_selected,620000,MA,Locals,Female,True,GRAD,18-24
2491,no_interest_selected,14000,OM,Locals,Female,True,GRAD,18-24
2492,no_interest_selected,10000,QA,Locals,Female,True,GRAD,18-24
2493,no_interest_selected,170000,SA,Locals,Female,True,GRAD,18-24
2494,no_interest_selected,33000,SO,Locals,Female,True,GRAD,18-24
2495,no_interest_selected,310000,TN,Locals,Female,True,GRAD,18-24
2496,no_interest_selected,40000,AE,Locals,Female,True,GRAD,18-24
2497,no_interest_selected,29000,YE,Locals,Female,True,GRAD,18-24
2498,no_interest_selected,87000,PS,Locals,Female,True,GRAD,18-24
2601,no_interest_selected,1600000,DZ,Locals,Female,True,ND,18-24
2602,no_interest_selected,30000,BH,Locals,Female,True,ND,18-24
2603,no_interest_selected,1900000,EG,Locals,Female,True,ND,18-24
2604,no_interest_selected,1100000,IQ,Locals,Female,True,ND,18-24
2605,no_interest_selected,350000,JO,Locals,Female,True,ND,18-24
2606,no_interest_selected,80000,KW,Locals,Female,True,ND,18-24
2607,no_interest_selected,190000,LB,Locals,Female,True,ND,18-24
2608,no_interest_selected,170000,LY,Locals,Female,True,ND,18-24
2609,no_interest_selected,1000000,MA,Locals,Female,True,ND,18-24
2610,no_interest_selected,66000,OM,Locals,Female,True,ND,18-24
2611,no_interest_selected,39000,QA,Locals,Female,True,ND,18-24
2612,no_interest_selected,910000,SA,Locals,Female,True,ND,18-24
2613,no_interest_selected,110000,SO,Locals,Female,True,ND,18-24
2614,no_interest_selected,430000,TN,Locals,Female,True,ND,18-24
2615,no_interest_selected,150000,AE,Locals,Female,True,ND,18-24
2616,no_interest_selected,76000,YE,Locals,Female,True,ND,18-24
2617,no_interest_selected,110000,PS,Locals,Female,True,ND,18-24
2720,no_interest_selected,360000,DZ,Locals,Female,True,HS,18-24
2721,no_interest_selected,9400,BH,Locals,Female,True,HS,18-24
2722,no_interest_selected,1000000,EG,Locals,Female,True,HS,18-24
2723,no_interest_selected,280000,IQ,Locals,Female,True,HS,18-24
2724,no_interest_selected,160000,JO,Locals,Female,True,HS,18-24
2725,no_interest_selected,10000,KW,Locals,Female,True,HS,18-24
2726,no_interest_selected,75000,LB,Locals,Female,True,HS,18-24
2727,no_interest_selected,76000,LY,Locals,Female,True,HS,18-24
2728,no_interest_selected,320000,MA,Locals,Female,True,HS,18-24
2729,no_interest_selected,10000,OM,Locals,Female,True,HS,18-24
2730,no_interest_selected,7000,QA,Locals,Female,True,HS,18-24
2731,no_interest_selected,130000,SA,Locals,Female,True,HS,18-24
2732,no_interest_selected,12000,SO,Locals,Female,True,HS,18-24
2733,no_interest_selected,170000,TN,Locals,Female,True,HS,18-24
2734,no_interest_selected,25000,AE,Locals,Female,True,HS,18-24
2735,no_interest_selected,25000,YE,Locals,Female,True,HS,18-24
2736,no_interest_selected,65000,PS,Locals,Female,True,HS,18-24
8432,no_interest_selected,1500000,DZ,Locals,Male,True,GRAD,25-44
8433,no_interest_selected,41000,BH,Locals,Male,True,GRAD,25-44
8434,no_interest_selected,4100000,EG,Locals,Male,True,GRAD,25-44
8435,no_interest_selected,1700000,IQ,Locals,Male,True,GRAD,25-44
8436,no_interest_selected,410000,JO,Locals,Male,True,GRAD,25-44
8437,no_interest_selected,83000,KW,Locals,Male,True,GRAD,25-44
8438,no_interest_selected,200000,LB,Locals,Male,True,GRAD,25-44
8439,no_interest_selected,320000,LY,Locals,Male,True,GRAD,25-44
8440,no_interest_selected,1200000,MA,Locals,Male,True,GRAD,25-44
8441,no_interest_selected,92000,OM,Locals,Male,True,GRAD,25-44
8442,no_interest_selected,65000,QA,Locals,Male,True,GRAD,25-44
8443,no_interest_selected,1400000,SA,Locals,Male,True,GRAD,25-44
