,age_range,gender,citizenship,scholarity,audience,topic,country_code
4284,18-24,Male,Expats,Graduated,56000,cars vehicles,DZ
4285,25-44,Male,Expats,Graduated,41000,cars vehicles,DZ
4286,45+,Male,Expats,Graduated,3800,cars vehicles,DZ
4287,18-24,Female,Expats,Graduated,8500,cars vehicles,DZ
4288,25-44,Female,Expats,Graduated,4300,cars vehicles,DZ
4289,45+,Female,Expats,Graduated,660,cars vehicles,DZ
4290,18-24,Male,Expats,No Degree,21000,cars vehicles,DZ
4291,25-44,Male,Expats,No Degree,19000,cars vehicles,DZ
4292,45+,Male,Expats,No Degree,2000,cars vehicles,DZ
4293,18-24,Female,Expats,No Degree,3400,cars vehicles,DZ
4294,25-44,Female,Expats,No Degree,2800,cars vehicles,DZ
4295,45+,Female,Expats,No Degree,560,cars vehicles,DZ
4296,18-24,Male,Expats,High School,21000,cars vehicles,DZ
4297,25-44,Male,Expats,High School,8900,cars vehicles,DZ
4298,45+,Male,Expats,High School,1100,cars vehicles,DZ
4299,18-24,Female,Expats,High School,3500,cars vehicles,DZ
4300,25-44,Female,Expats,High School,1000,cars vehicles,DZ
4301,45+,Female,Expats,High School,200,cars vehicles,DZ
4302,18-24,Male,Locals,Graduated,230000,cars vehicles,DZ
4303,25-44,Male,Locals,Graduated,260000,cars vehicles,DZ
4304,45+,Male,Locals,Graduated,16000,cars vehicles,DZ
4305,18-24,Female,Locals,Graduated,59000,cars vehicles,DZ
4306,25-44,Female,Locals,Graduated,52000,cars vehicles,DZ
4307,45+,Female,Locals,Graduated,3900,cars vehicles,DZ
4308,18-24,Male,Locals,No Degree,210000,cars vehicles,DZ
4309,25-44,Male,Locals,No Degree,240000,cars vehicles,DZ
4310,45+,Male,Locals,No Degree,16000,cars vehicles,DZ
4311,18-24,Female,Locals,No Degree,46000,cars vehicles,DZ
4312,25-44,Female,Locals,No Degree,36000,cars vehicles,DZ
4313,45+,Female,Locals,No Degree,4200,cars vehicles,DZ
4314,18-24,Male,Locals,High School,110000,cars vehicles,DZ
4315,25-44,Male,Locals,High School,70000,cars vehicles,DZ
4316,45+,Male,Locals,High School,5100,cars vehicles,DZ
4317,18-24,Female,Locals,High School,32000,cars vehicles,DZ
4318,25-44,Female,Locals,High School,11000,cars vehicles,DZ
4319,45+,Female,Locals,High School,1500,cars vehicles,DZ
4320,18-24,Male,Expats,Graduated,8000,cars vehicles,BH
4321,25-44,Male,Expats,Graduated,35000,cars vehicles,BH
4322,45+,Male,Expats,Graduated,4400,cars vehicles,BH
4323,18-24,Female,Expats,Graduated,1000,cars vehicles,BH
4324,25-44,Female,Expats,Graduated,7200,cars vehicles,BH
4325,45+,Female,Expats,Graduated,1600,cars vehicles,BH
4326,18-24,Male,Expats,No Degree,5700,cars vehicles,BH
4327,25-44,Male,Expats,No Degree,22000,cars vehicles,BH
4328,45+,Male,Expats,No Degree,4000,cars vehicles,BH
4329,18-24,Female,Expats,No Degree,820,cars vehicles,BH
4330,25-44,Female,Expats,No Degree,3500,cars vehicles,BH
4331,45+,Female,Expats,No Degree,1100,cars vehicles,BH
4332,18-24,Male,Expats,High School,3200,cars vehicles,BH
4333,25-44,Male,Expats,High School,9300,cars vehicles,BH
4334,45+,Male,Expats,High School,1400,cars vehicles,BH
4335,18-24,Female,Expats,High School,710,cars vehicles,BH
4336,25-44,Female,Expats,High School,2100,cars vehicles,BH
4337,45+,Female,Expats,High School,550,cars vehicles,BH
4338,18-24,Male,Locals,Graduated,2300,cars vehicles,BH
4339,25-44,Male,Locals,Graduated,6100,cars vehicles,BH
4340,45+,Male,Locals,Graduated,680,cars vehicles,BH
4341,18-24,Female,Locals,Graduated,660,cars vehicles,BH
4342,25-44,Female,Locals,Graduated,1700,cars vehicles,BH
4343,45+,Female,Locals,Graduated,280,cars vehicles,BH
4344,18-24,Male,Locals,No Degree,2800,cars vehicles,BH
4345,25-44,Male,Locals,No Degree,6300,cars vehicles,BH
4346,45+,Male,Locals,No Degree,1400,cars vehicles,BH
4347,18-24,Female,Locals,No Degree,540,cars vehicles,BH
4348,25-44,Female,Locals,No Degree,1400,cars vehicles,BH
4349,45+,Female,Locals,No Degree,260,cars vehicles,BH
4350,18-24,Male,Locals,High School,1200,cars vehicles,BH
4351,25-44,Male,Locals,High School,1900,cars vehicles,BH
4352,45+,Male,Locals,High School,260,cars vehicles,BH
4353,18-24,Female,Locals,High School,450,cars vehicles,BH
4354,25-44,Female,Locals,High School,470,cars vehicles,BH
4355,45+,Female,Locals,High School,70,cars vehicles,BH
4356,18-24,Male,Expats,Graduated,24000,cars vehicles,EG
4357,25-44,Male,Expats,Graduated,47000,cars vehicles,EG
4358,45+,Male,Expats,Graduated,6500,cars vehicles,EG
4359,18-24,Female,Expats,Graduated,5800,cars vehicles,EG
4360,25-44,Female,Expats,Graduated,11000,cars vehicles,EG
4361,45+,Female,Expats,Graduated,1700,cars vehicles,EG
4362,18-24,Male,Expats,No Degree,6700,cars vehicles,EG
4363,25-44,Male,Expats,No Degree,11000,cars vehicles,EG
4364,45+,Male,Expats,No Degree,2800,cars vehicles,EG
4365,18-24,Female,Expats,No Degree,1900,cars vehicles,EG
4366,25-44,Female,Expats,No Degree,2700,cars vehicles,EG
4367,45+,Female,Expats,No Degree,950,cars vehicles,EG
4368,18-24,Male,Expats,High School,16000,cars vehicles,EG
4369,25-44,Male,Expats,High School,10000,cars vehicles,EG
4370,45+,Male,Expats,High School,1400,cars vehicles,EG
4371,18-24,Female,Expats,High School,5200,cars vehicles,EG
4372,25-44,Female,Expats,High School,2100,cars vehicles,EG
4373,45+,Female,Expats,High School,260,cars vehicles,EG
4374,18-24,Male,Locals,Graduated,480000,cars vehicles,EG
4375,25-44,Male,Locals,Graduated,800000,cars vehicles,EG
4376,45+,Male,Locals,Graduated,90000,cars vehicles,EG
4377,18-24,Female,Locals,Graduated,160000,cars vehicles,EG
4378,25-44,Female,Locals,Graduated,210000,cars vehicles,EG
4379,45+,Female,Locals,Graduated,21000,cars vehicles,EG
4380,18-24,Male,Locals,No Degree,170000,cars vehicles,EG
4381,25-44,Male,Locals,No Degree,260000,cars vehicles,EG
