,Unnamed: 0.1,ages_ranges,genders,behavior,scholarities,relationship_statuses,audience,timestamp,topic,location
2448,2448,18-24,1.0,Expats,Graduated,NOTSELECTED,91000,1487179595.78,physical activity,DZ
2449,2449,25-44,1.0,Expats,Graduated,NOTSELECTED,76000,1487179595.78,physical activity,DZ
2450,2450,45+,1.0,Expats,Graduated,NOTSELECTED,8500,1487179595.78,physical activity,DZ
2451,2451,18-24,2.0,Expats,Graduated,NOTSELECTED,20000,1487179595.78,physical activity,DZ
2452,2452,25-44,2.0,Expats,Graduated,NOTSELECTED,15000,1487179595.78,physical activity,DZ
2453,2453,45+,2.0,Expats,Graduated,NOTSELECTED,2600,1487179595.78,physical activity,DZ
2454,2454,18-24,1.0,Expats,No Degree,NOTSELECTED,45000,1487179595.78,physical activity,DZ
2455,2455,25-44,1.0,Expats,No Degree,NOTSELECTED,52000,1487179595.78,physical activity,DZ
2456,2456,45+,1.0,Expats,No Degree,NOTSELECTED,8400,1487179595.78,physical activity,DZ
2457,2457,18-24,2.0,Expats,No Degree,NOTSELECTED,13000,1487179595.78,physical activity,DZ
2458,2458,25-44,2.0,Expats,No Degree,NOTSELECTED,14000,1487179595.78,physical activity,DZ
2459,2459,45+,2.0,Expats,No Degree,NOTSELECTED,3100,1487179595.78,physical activity,DZ
2460,2460,18-24,1.0,Expats,High School,NOTSELECTED,35000,1487179595.78,physical activity,DZ
2461,2461,25-44,1.0,Expats,High School,NOTSELECTED,17000,1487179595.78,physical activity,DZ
2462,2462,45+,1.0,Expats,High School,NOTSELECTED,2900,1487179595.78,physical activity,DZ
2463,2463,18-24,2.0,Expats,High School,NOTSELECTED,8700,1487179595.78,physical activity,DZ
2464,2464,25-44,2.0,Expats,High School,NOTSELECTED,3900,1487179595.78,physical activity,DZ
2465,2465,45+,2.0,Expats,High School,NOTSELECTED,1100,1487179595.78,physical activity,DZ
2466,2466,18-24,1.0,Locals,Graduated,NOTSELECTED,380000,1487179595.78,physical activity,DZ
2467,2467,25-44,1.0,Locals,Graduated,NOTSELECTED,510000,1487179595.78,physical activity,DZ
2468,2468,45+,1.0,Locals,Graduated,NOTSELECTED,47000,1487179595.78,physical activity,DZ
2469,2469,18-24,2.0,Locals,Graduated,NOTSELECTED,170000,1487179595.78,physical activity,DZ
2470,2470,25-44,2.0,Locals,Graduated,NOTSELECTED,200000,1487179595.78,physical activity,DZ
2471,2471,45+,2.0,Locals,Graduated,NOTSELECTED,20000,1487179595.78,physical activity,DZ
2472,2472,18-24,1.0,Locals,No Degree,NOTSELECTED,390000,1487179595.78,physical activity,DZ
2473,2473,25-44,1.0,Locals,No Degree,NOTSELECTED,520000,1487179595.78,physical activity,DZ
2474,2474,45+,1.0,Locals,No Degree,NOTSELECTED,67000,1487179595.78,physical activity,DZ
2475,2475,18-24,2.0,Locals,No Degree,NOTSELECTED,180000,1487179595.78,physical activity,DZ
2476,2476,25-44,2.0,Locals,No Degree,NOTSELECTED,200000,1487179595.78,physical activity,DZ
2477,2477,45+,2.0,Locals,No Degree,NOTSELECTED,34000,1487179595.78,physical activity,DZ
2478,2478,18-24,1.0,Locals,High School,NOTSELECTED,180000,1487179595.78,physical activity,DZ
2479,2479,25-44,1.0,Locals,High School,NOTSELECTED,140000,1487179595.78,physical activity,DZ
