,topic,country_code,citizenship,gender,is_denominator,language,languages,max_age,min_age,scholarity,audience,age_range
12924,shopping,TN,Locals,Female,False,European,NOTSELECTED,NOTSELECTED,45,GRAD,3300,45+
12925,shopping,AE,Locals,Female,False,European,NOTSELECTED,NOTSELECTED,45,GRAD,200,45+
12926,shopping,YE,Locals,Female,False,European,NOTSELECTED,NOTSELECTED,45,GRAD,0,45+
12927,shopping,PS,Locals,Female,False,European,NOTSELECTED,NOTSELECTED,45,GRAD,70,45+
12928,shopping,DZ,Locals,Female,False,Indian,NOTSELECTED,NOTSELECTED,45,GRAD,0,45+
12929,shopping,EG,Locals,Female,False,Indian,NOTSELECTED,NOTSELECTED,45,GRAD,50,45+
12930,shopping,IQ,Locals,Female,False,Indian,NOTSELECTED,NOTSELECTED,45,GRAD,0,45+
12931,shopping,JO,Locals,Female,False,Indian,NOTSELECTED,NOTSELECTED,45,GRAD,0,45+
12932,shopping,KW,Locals,Female,False,Indian,NOTSELECTED,NOTSELECTED,45,GRAD,30,45+
12933,shopping,LB,Locals,Female,False,Indian,NOTSELECTED,NOTSELECTED,45,GRAD,0,45+
12934,shopping,LY,Locals,Female,False,Indian,NOTSELECTED,NOTSELECTED,45,GRAD,0,45+
12935,shopping,MA,Locals,Female,False,Indian,NOTSELECTED,NOTSELECTED,45,GRAD,0,45+
12936,shopping,OM,Locals,Female,False,Indian,NOTSELECTED,NOTSELECTED,45,GRAD,100,45+
12937,shopping,QA,Locals,Female,False,Indian,NOTSELECTED,NOTSELECTED,45,GRAD,110,45+
12938,shopping,SA,Locals,Female,False,Indian,NOTSELECTED,NOTSELECTED,45,GRAD,800,45+
12939,shopping,SO,Locals,Female,False,Indian,NOTSELECTED,NOTSELECTED,45,GRAD,0,45+
12940,shopping,TN,Locals,Female,False,Indian,NOTSELECTED,NOTSELECTED,45,GRAD,0,45+
12941,shopping,AE,Locals,Female,False,Indian,NOTSELECTED,NOTSELECTED,45,GRAD,380,45+
12942,shopping,YE,Locals,Female,False,Indian,NOTSELECTED,NOTSELECTED,45,GRAD,0,45+
12943,shopping,PS,Locals,Female,False,Indian,NOTSELECTED,NOTSELECTED,45,GRAD,0,45+
12944,shopping,DZ,Locals,Female,False,SE Asia,NOTSELECTED,NOTSELECTED,45,GRAD,260,45+
12945,shopping,EG,Locals,Female,False,SE Asia,NOTSELECTED,NOTSELECTED,45,GRAD,140,45+
12946,shopping,IQ,Locals,Female,False,SE Asia,NOTSELECTED,NOTSELECTED,45,GRAD,0,45+
12947,shopping,JO,Locals,Female,False,SE Asia,NOTSELECTED,NOTSELECTED,45,GRAD,60,45+
12948,shopping,KW,Locals,Female,False,SE Asia,NOTSELECTED,NOTSELECTED,45,GRAD,360,45+
12949,shopping,LB,Locals,Female,False,SE Asia,NOTSELECTED,NOTSELECTED,45,GRAD,210,45+
12950,shopping,LY,Locals,Female,False,SE Asia,NOTSELECTED,NOTSELECTED,45,GRAD,0,45+
12951,shopping,MA,Locals,Female,False,SE Asia,NOTSELECTED,NOTSELECTED,45,GRAD,120,45+
12952,shopping,OM,Locals,Female,False,SE Asia,NOTSELECTED,NOTSELECTED,45,GRAD,150,45+
12953,shopping,QA,Locals,Female,False,SE Asia,NOTSELECTED,NOTSELECTED,45,GRAD,320,45+
12954,shopping,SA,Locals,Female,False,SE Asia,NOTSELECTED,NOTSELECTED,45,GRAD,6800,45+
12955,shopping,SO,Locals,Female,False,SE Asia,NOTSELECTED,NOTSELECTED,45,GRAD,310,45+
12956,shopping,TN,Locals,Female,False,SE Asia,NOTSELECTED,NOTSELECTED,45,GRAD,540,45+
12957,shopping,AE,Locals,Female,False,SE Asia,NOTSELECTED,NOTSELECTED,45,GRAD,1200,45+
12958,shopping,YE,Locals,Female,False,SE Asia,NOTSELECTED,NOTSELECTED,45,GRAD,0,45+
12959,shopping,PS,Locals,Female,False,SE Asia,NOTSELECTED,NOTSELECTED,45,GRAD,0,45+
21600,health,DZ,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,ND,540000,18-24
21601,health,EG,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,ND,880000,18-24
21602,health,IQ,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,ND,710000,18-24
21603,health,JO,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,ND,130000,18-24
21604,health,KW,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,ND,6200,18-24
21605,health,LB,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,ND,86000,18-24
21606,health,LY,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,ND,66000,18-24
21607,health,MA,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,ND,520000,18-24
21608,health,OM,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,ND,10000,18-24
21609,health,QA,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,ND,2600,18-24
21610,health,SA,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,ND,360000,18-24
21611,health,SO,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,ND,7000,18-24
21612,health,TN,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,ND,160000,18-24
21613,health,AE,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,ND,13000,18-24
21614,health,YE,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,ND,60000,18-24
21615,health,PS,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,ND,24000,18-24
21616,health,DZ,Locals,Male,False,English,NOTSELECTED,24.0,18,ND,46000,18-24
21617,health,EG,Locals,Male,False,English,NOTSELECTED,24.0,18,ND,130000,18-24
21618,health,IQ,Locals,Male,False,English,NOTSELECTED,24.0,18,ND,120000,18-24
21619,health,JO,Locals,Male,False,English,NOTSELECTED,24.0,18,ND,24000,18-24
21620,health,KW,Locals,Male,False,English,NOTSELECTED,24.0,18,ND,8600,18-24
21621,health,LB,Locals,Male,False,English,NOTSELECTED,24.0,18,ND,67000,18-24
21622,health,LY,Locals,Male,False,English,NOTSELECTED,24.0,18,ND,8300,18-24
21623,health,MA,Locals,Male,False,English,NOTSELECTED,24.0,18,ND,65000,18-24
21624,health,OM,Locals,Male,False,English,NOTSELECTED,24.0,18,ND,8900,18-24
21625,health,QA,Locals,Male,False,English,NOTSELECTED,24.0,18,ND,16000,18-24
21626,health,SA,Locals,Male,False,English,NOTSELECTED,24.0,18,ND,760000,18-24
21627,health,SO,Locals,Male,False,English,NOTSELECTED,24.0,18,ND,26000,18-24
21628,health,TN,Locals,Male,False,English,NOTSELECTED,24.0,18,ND,27000,18-24
21629,health,AE,Locals,Male,False,English,NOTSELECTED,24.0,18,ND,61000,18-24
21630,health,YE,Locals,Male,False,English,NOTSELECTED,24.0,18,ND,3700,18-24
21631,health,PS,Locals,Male,False,English,NOTSELECTED,24.0,18,ND,3600,18-24
21632,health,DZ,Locals,Male,False,French,NOTSELECTED,24.0,18,ND,370000,18-24
21633,health,EG,Locals,Male,False,French,NOTSELECTED,24.0,18,ND,10000,18-24
21634,health,IQ,Locals,Male,False,French,NOTSELECTED,24.0,18,ND,1800,18-24
21635,health,JO,Locals,Male,False,French,NOTSELECTED,24.0,18,ND,960,18-24
21636,health,KW,Locals,Male,False,French,NOTSELECTED,24.0,18,ND,50,18-24
21637,health,LB,Locals,Male,False,French,NOTSELECTED,24.0,18,ND,4100,18-24
21638,health,LY,Locals,Male,False,French,NOTSELECTED,24.0,18,ND,1100,18-24
21639,health,MA,Locals,Male,False,French,NOTSELECTED,24.0,18,ND,330000,18-24
21640,health,OM,Locals,Male,False,French,NOTSELECTED,24.0,18,ND,40,18-24
21641,health,QA,Locals,Male,False,French,NOTSELECTED,24.0,18,ND,190,18-24
21642,health,SA,Locals,Male,False,French,NOTSELECTED,24.0,18,ND,3100,18-24
21643,health,SO,Locals,Male,False,French,NOTSELECTED,24.0,18,ND,100,18-24
21644,health,TN,Locals,Male,False,French,NOTSELECTED,24.0,18,ND,160000,18-24
21645,health,AE,Locals,Male,False,French,NOTSELECTED,24.0,18,ND,540,18-24
21646,health,YE,Locals,Male,False,French,NOTSELECTED,24.0,18,ND,90,18-24
21647,health,PS,Locals,Male,False,French,NOTSELECTED,24.0,18,ND,200,18-24
21648,health,DZ,Locals,Male,False,European,NOTSELECTED,24.0,18,ND,19000,18-24
21649,health,EG,Locals,Male,False,European,NOTSELECTED,24.0,18,ND,13000,18-24
21650,health,IQ,Locals,Male,False,European,NOTSELECTED,24.0,18,ND,5900,18-24
21651,health,JO,Locals,Male,False,European,NOTSELECTED,24.0,18,ND,1300,18-24
21652,health,KW,Locals,Male,False,European,NOTSELECTED,24.0,18,ND,220,18-24
21653,health,LB,Locals,Male,False,European,NOTSELECTED,24.0,18,ND,1700,18-24
21654,health,LY,Locals,Male,False,European,NOTSELECTED,24.0,18,ND,700,18-24
21655,health,MA,Locals,Male,False,European,NOTSELECTED,24.0,18,ND,30000,18-24
21656,health,OM,Locals,Male,False,European,NOTSELECTED,24.0,18,ND,270,18-24
21657,health,QA,Locals,Male,False,European,NOTSELECTED,24.0,18,ND,350,18-24
21658,health,SA,Locals,Male,False,European,NOTSELECTED,24.0,18,ND,16000,18-24
21659,health,SO,Locals,Male,False,European,NOTSELECTED,24.0,18,ND,470,18-24
21660,health,TN,Locals,Male,False,European,NOTSELECTED,24.0,18,ND,9900,18-24
21661,health,AE,Locals,Male,False,European,NOTSELECTED,24.0,18,ND,1600,18-24
21662,health,YE,Locals,Male,False,European,NOTSELECTED,24.0,18,ND,430,18-24
21663,health,PS,Locals,Male,False,European,NOTSELECTED,24.0,18,ND,180,18-24
21664,health,DZ,Locals,Male,False,Indian,NOTSELECTED,24.0,18,ND,820,18-24
21665,health,EG,Locals,Male,False,Indian,NOTSELECTED,24.0,18,ND,1400,18-24
21666,health,IQ,Locals,Male,False,Indian,NOTSELECTED,24.0,18,ND,1900,18-24
21667,health,JO,Locals,Male,False,Indian,NOTSELECTED,24.0,18,ND,570,18-24
21668,health,KW,Locals,Male,False,Indian,NOTSELECTED,24.0,18,ND,2900,18-24
21669,health,LB,Locals,Male,False,Indian,NOTSELECTED,24.0,18,ND,540,18-24
21670,health,LY,Locals,Male,False,Indian,NOTSELECTED,24.0,18,ND,310,18-24
21671,health,MA,Locals,Male,False,Indian,NOTSELECTED,24.0,18,ND,1900,18-24
21672,health,OM,Locals,Male,False,Indian,NOTSELECTED,24.0,18,ND,4600,18-24
21673,health,QA,Locals,Male,False,Indian,NOTSELECTED,24.0,18,ND,9600,18-24
21674,health,SA,Locals,Male,False,Indian,NOTSELECTED,24.0,18,ND,470000,18-24
21675,health,SO,Locals,Male,False,Indian,NOTSELECTED,24.0,18,ND,140,18-24
21676,health,TN,Locals,Male,False,Indian,NOTSELECTED,24.0,18,ND,160,18-24
21677,health,AE,Locals,Male,False,Indian,NOTSELECTED,24.0,18,ND,31000,18-24
21678,health,YE,Locals,Male,False,Indian,NOTSELECTED,24.0,18,ND,180,18-24
21679,health,PS,Locals,Male,False,Indian,NOTSELECTED,24.0,18,ND,0,18-24
21680,health,DZ,Locals,Male,False,SE Asia,NOTSELECTED,24.0,18,ND,4800,18-24
21681,health,EG,Locals,Male,False,SE Asia,NOTSELECTED,24.0,18,ND,2800,18-24
21682,health,IQ,Locals,Male,False,SE Asia,NOTSELECTED,24.0,18,ND,3900,18-24
21683,health,JO,Locals,Male,False,SE Asia,NOTSELECTED,24.0,18,ND,510,18-24
21684,health,KW,Locals,Male,False,SE Asia,NOTSELECTED,24.0,18,ND,580,18-24
21685,health,LB,Locals,Male,False,SE Asia,NOTSELECTED,24.0,18,ND,830,18-24
21686,health,LY,Locals,Male,False,SE Asia,NOTSELECTED,24.0,18,ND,130,18-24
21687,health,MA,Locals,Male,False,SE Asia,NOTSELECTED,24.0,18,ND,7900,18-24
21688,health,OM,Locals,Male,False,SE Asia,NOTSELECTED,24.0,18,ND,760,18-24
21689,health,QA,Locals,Male,False,SE Asia,NOTSELECTED,24.0,18,ND,1500,18-24
21690,health,SA,Locals,Male,False,SE Asia,NOTSELECTED,24.0,18,ND,85000,18-24
21691,health,SO,Locals,Male,False,SE Asia,NOTSELECTED,24.0,18,ND,3500,18-24
21692,health,TN,Locals,Male,False,SE Asia,NOTSELECTED,24.0,18,ND,2900,18-24
21693,health,AE,Locals,Male,False,SE Asia,NOTSELECTED,24.0,18,ND,6800,18-24
21694,health,YE,Locals,Male,False,SE Asia,NOTSELECTED,24.0,18,ND,180,18-24
21695,health,PS,Locals,Male,False,SE Asia,NOTSELECTED,24.0,18,ND,40,18-24
21696,health,DZ,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,HS,220000,18-24
21697,health,EG,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,HS,820000,18-24
21698,health,IQ,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,HS,320000,18-24
21699,health,JO,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,HS,110000,18-24
21700,health,KW,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,HS,1300,18-24
21701,health,LB,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,HS,45000,18-24
21702,health,LY,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,HS,44000,18-24
21703,health,MA,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,HS,270000,18-24
21704,health,OM,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,HS,4800,18-24
21705,health,QA,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,HS,900,18-24
21706,health,SA,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,HS,69000,18-24
21707,health,SO,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,HS,4100,18-24
21708,health,TN,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,HS,98000,18-24
21709,health,AE,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,HS,4700,18-24
21710,health,YE,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,HS,39000,18-24
21711,health,PS,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,HS,30000,18-24
21712,health,DZ,Locals,Male,False,English,NOTSELECTED,24.0,18,HS,41000,18-24
21713,health,EG,Locals,Male,False,English,NOTSELECTED,24.0,18,HS,370000,18-24
21714,health,IQ,Locals,Male,False,English,NOTSELECTED,24.0,18,HS,95000,18-24
21715,health,JO,Locals,Male,False,English,NOTSELECTED,24.0,18,HS,50000,18-24
21716,health,KW,Locals,Male,False,English,NOTSELECTED,24.0,18,HS,2600,18-24
21717,health,LB,Locals,Male,False,English,NOTSELECTED,24.0,18,HS,46000,18-24
21718,health,LY,Locals,Male,False,English,NOTSELECTED,24.0,18,HS,12000,18-24
21719,health,MA,Locals,Male,False,English,NOTSELECTED,24.0,18,HS,75000,18-24
21720,health,OM,Locals,Male,False,English,NOTSELECTED,24.0,18,HS,2800,18-24
21721,health,QA,Locals,Male,False,English,NOTSELECTED,24.0,18,HS,3900,18-24
21722,health,SA,Locals,Male,False,English,NOTSELECTED,24.0,18,HS,77000,18-24
21723,health,SO,Locals,Male,False,English,NOTSELECTED,24.0,18,HS,8200,18-24
21724,health,TN,Locals,Male,False,English,NOTSELECTED,24.0,18,HS,35000,18-24
21725,health,AE,Locals,Male,False,English,NOTSELECTED,24.0,18,HS,16000,18-24
21726,health,YE,Locals,Male,False,English,NOTSELECTED,24.0,18,HS,7100,18-24
21727,health,PS,Locals,Male,False,English,NOTSELECTED,24.0,18,HS,8500,18-24
21728,health,DZ,Locals,Male,False,French,NOTSELECTED,24.0,18,HS,170000,18-24
21729,health,EG,Locals,Male,False,French,NOTSELECTED,24.0,18,HS,70000,18-24
21730,health,IQ,Locals,Male,False,French,NOTSELECTED,24.0,18,HS,3800,18-24
21731,health,JO,Locals,Male,False,French,NOTSELECTED,24.0,18,HS,3100,18-24
21732,health,KW,Locals,Male,False,French,NOTSELECTED,24.0,18,HS,130,18-24
21733,health,LB,Locals,Male,False,French,NOTSELECTED,24.0,18,HS,9400,18-24
21734,health,LY,Locals,Male,False,French,NOTSELECTED,24.0,18,HS,880,18-24
21735,health,MA,Locals,Male,False,French,NOTSELECTED,24.0,18,HS,210000,18-24
21736,health,OM,Locals,Male,False,French,NOTSELECTED,24.0,18,HS,130,18-24
21737,health,QA,Locals,Male,False,French,NOTSELECTED,24.0,18,HS,100,18-24
21738,health,SA,Locals,Male,False,French,NOTSELECTED,24.0,18,HS,1400,18-24
21739,health,SO,Locals,Male,False,French,NOTSELECTED,24.0,18,HS,110,18-24
21740,health,TN,Locals,Male,False,French,NOTSELECTED,24.0,18,HS,100000,18-24
21741,health,AE,Locals,Male,False,French,NOTSELECTED,24.0,18,HS,550,18-24
21742,health,YE,Locals,Male,False,French,NOTSELECTED,24.0,18,HS,340,18-24
21743,health,PS,Locals,Male,False,French,NOTSELECTED,24.0,18,HS,540,18-24
21744,health,DZ,Locals,Male,False,European,NOTSELECTED,24.0,18,HS,8700,18-24
21745,health,EG,Locals,Male,False,European,NOTSELECTED,24.0,18,HS,36000,18-24
21746,health,IQ,Locals,Male,False,European,NOTSELECTED,24.0,18,HS,2200,18-24
21747,health,JO,Locals,Male,False,European,NOTSELECTED,24.0,18,HS,2300,18-24
21748,health,KW,Locals,Male,False,European,NOTSELECTED,24.0,18,HS,120,18-24
21749,health,LB,Locals,Male,False,European,NOTSELECTED,24.0,18,HS,2400,18-24
21750,health,LY,Locals,Male,False,European,NOTSELECTED,24.0,18,HS,720,18-24
21751,health,MA,Locals,Male,False,European,NOTSELECTED,24.0,18,HS,18000,18-24
21752,health,OM,Locals,Male,False,European,NOTSELECTED,24.0,18,HS,100,18-24
21753,health,QA,Locals,Male,False,European,NOTSELECTED,24.0,18,HS,150,18-24
21754,health,SA,Locals,Male,False,European,NOTSELECTED,24.0,18,HS,2800,18-24
21755,health,SO,Locals,Male,False,European,NOTSELECTED,24.0,18,HS,290,18-24
21756,health,TN,Locals,Male,False,European,NOTSELECTED,24.0,18,HS,11000,18-24
21757,health,AE,Locals,Male,False,European,NOTSELECTED,24.0,18,HS,540,18-24
21758,health,YE,Locals,Male,False,European,NOTSELECTED,24.0,18,HS,290,18-24
21759,health,PS,Locals,Male,False,European,NOTSELECTED,24.0,18,HS,400,18-24
21760,health,DZ,Locals,Male,False,Indian,NOTSELECTED,24.0,18,HS,190,18-24
21761,health,EG,Locals,Male,False,Indian,NOTSELECTED,24.0,18,HS,800,18-24
21762,health,IQ,Locals,Male,False,Indian,NOTSELECTED,24.0,18,HS,360,18-24
21763,health,JO,Locals,Male,False,Indian,NOTSELECTED,24.0,18,HS,190,18-24
21764,health,KW,Locals,Male,False,Indian,NOTSELECTED,24.0,18,HS,490,18-24
21765,health,LB,Locals,Male,False,Indian,NOTSELECTED,24.0,18,HS,110,18-24
21766,health,LY,Locals,Male,False,Indian,NOTSELECTED,24.0,18,HS,80,18-24
21767,health,MA,Locals,Male,False,Indian,NOTSELECTED,24.0,18,HS,430,18-24
21768,health,OM,Locals,Male,False,Indian,NOTSELECTED,24.0,18,HS,730,18-24
21769,health,QA,Locals,Male,False,Indian,NOTSELECTED,24.0,18,HS,1800,18-24
21770,health,SA,Locals,Male,False,Indian,NOTSELECTED,24.0,18,HS,35000,18-24
21771,health,SO,Locals,Male,False,Indian,NOTSELECTED,24.0,18,HS,0,18-24
21772,health,TN,Locals,Male,False,Indian,NOTSELECTED,24.0,18,HS,90,18-24
21773,health,AE,Locals,Male,False,Indian,NOTSELECTED,24.0,18,HS,6300,18-24
21774,health,YE,Locals,Male,False,Indian,NOTSELECTED,24.0,18,HS,90,18-24
21775,health,PS,Locals,Male,False,Indian,NOTSELECTED,24.0,18,HS,0,18-24
21776,health,DZ,Locals,Male,False,SE Asia,NOTSELECTED,24.0,18,HS,1500,18-24
21777,health,EG,Locals,Male,False,SE Asia,NOTSELECTED,24.0,18,HS,1400,18-24
21778,health,IQ,Locals,Male,False,SE Asia,NOTSELECTED,24.0,18,HS,1300,18-24
21779,health,JO,Locals,Male,False,SE Asia,NOTSELECTED,24.0,18,HS,260,18-24
21780,health,KW,Locals,Male,False,SE Asia,NOTSELECTED,24.0,18,HS,180,18-24
21781,health,LB,Locals,Male,False,SE Asia,NOTSELECTED,24.0,18,HS,390,18-24
21782,health,LY,Locals,Male,False,SE Asia,NOTSELECTED,24.0,18,HS,0,18-24
21783,health,MA,Locals,Male,False,SE Asia,NOTSELECTED,24.0,18,HS,2200,18-24
21784,health,OM,Locals,Male,False,SE Asia,NOTSELECTED,24.0,18,HS,240,18-24
21785,health,QA,Locals,Male,False,SE Asia,NOTSELECTED,24.0,18,HS,800,18-24
21786,health,SA,Locals,Male,False,SE Asia,NOTSELECTED,24.0,18,HS,12000,18-24
21787,health,SO,Locals,Male,False,SE Asia,NOTSELECTED,24.0,18,HS,2200,18-24
21788,health,TN,Locals,Male,False,SE Asia,NOTSELECTED,24.0,18,HS,1800,18-24
21789,health,AE,Locals,Male,False,SE Asia,NOTSELECTED,24.0,18,HS,2900,18-24
21790,health,YE,Locals,Male,False,SE Asia,NOTSELECTED,24.0,18,HS,50,18-24
21791,health,PS,Locals,Male,False,SE Asia,NOTSELECTED,24.0,18,HS,0,18-24
21792,health,DZ,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,GRAD,490000,18-24
21793,health,EG,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,GRAD,1400000,18-24
21794,health,IQ,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,GRAD,510000,18-24
21795,health,JO,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,GRAD,140000,18-24
21796,health,KW,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,GRAD,2400,18-24
21797,health,LB,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,GRAD,57000,18-24
21798,health,LY,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,GRAD,79000,18-24
21799,health,MA,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,GRAD,660000,18-24
21800,health,OM,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,GRAD,8100,18-24
21801,health,QA,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,GRAD,1900,18-24
21802,health,SA,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,GRAD,120000,18-24
21803,health,SO,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,GRAD,13000,18-24
21804,health,TN,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,GRAD,200000,18-24
21805,health,AE,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,GRAD,7000,18-24
21806,health,YE,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,GRAD,64000,18-24
21807,health,PS,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,GRAD,49000,18-24
21808,health,DZ,Locals,Male,False,English,NOTSELECTED,24.0,18,GRAD,92000,18-24
21809,health,EG,Locals,Male,False,English,NOTSELECTED,24.0,18,GRAD,540000,18-24
21810,health,IQ,Locals,Male,False,English,NOTSELECTED,24.0,18,GRAD,130000,18-24
21811,health,JO,Locals,Male,False,English,NOTSELECTED,24.0,18,GRAD,51000,18-24
21812,health,KW,Locals,Male,False,English,NOTSELECTED,24.0,18,GRAD,3900,18-24
21813,health,LB,Locals,Male,False,English,NOTSELECTED,24.0,18,GRAD,56000,18-24
21814,health,LY,Locals,Male,False,English,NOTSELECTED,24.0,18,GRAD,18000,18-24
21815,health,MA,Locals,Male,False,English,NOTSELECTED,24.0,18,GRAD,180000,18-24
21816,health,OM,Locals,Male,False,English,NOTSELECTED,24.0,18,GRAD,6300,18-24
21817,health,QA,Locals,Male,False,English,NOTSELECTED,24.0,18,GRAD,11000,18-24
21818,health,SA,Locals,Male,False,English,NOTSELECTED,24.0,18,GRAD,140000,18-24
21819,health,SO,Locals,Male,False,English,NOTSELECTED,24.0,18,GRAD,25000,18-24
21820,health,TN,Locals,Male,False,English,NOTSELECTED,24.0,18,GRAD,70000,18-24
21821,health,AE,Locals,Male,False,English,NOTSELECTED,24.0,18,GRAD,40000,18-24
21822,health,YE,Locals,Male,False,English,NOTSELECTED,24.0,18,GRAD,9200,18-24
21823,health,PS,Locals,Male,False,English,NOTSELECTED,24.0,18,GRAD,13000,18-24
21824,health,DZ,Locals,Male,False,French,NOTSELECTED,24.0,18,GRAD,380000,18-24
21825,health,EG,Locals,Male,False,French,NOTSELECTED,24.0,18,GRAD,87000,18-24
21826,health,IQ,Locals,Male,False,French,NOTSELECTED,24.0,18,GRAD,3300,18-24
21827,health,JO,Locals,Male,False,French,NOTSELECTED,24.0,18,GRAD,3500,18-24
21828,health,KW,Locals,Male,False,French,NOTSELECTED,24.0,18,GRAD,190,18-24
21829,health,LB,Locals,Male,False,French,NOTSELECTED,24.0,18,GRAD,9600,18-24
21830,health,LY,Locals,Male,False,French,NOTSELECTED,24.0,18,GRAD,1300,18-24
21831,health,MA,Locals,Male,False,French,NOTSELECTED,24.0,18,GRAD,510000,18-24
21832,health,OM,Locals,Male,False,French,NOTSELECTED,24.0,18,GRAD,120,18-24
21833,health,QA,Locals,Male,False,French,NOTSELECTED,24.0,18,GRAD,390,18-24
21834,health,SA,Locals,Male,False,French,NOTSELECTED,24.0,18,GRAD,2500,18-24
21835,health,SO,Locals,Male,False,French,NOTSELECTED,24.0,18,GRAD,410,18-24
21836,health,TN,Locals,Male,False,French,NOTSELECTED,24.0,18,GRAD,200000,18-24
21837,health,AE,Locals,Male,False,French,NOTSELECTED,24.0,18,GRAD,990,18-24
21838,health,YE,Locals,Male,False,French,NOTSELECTED,24.0,18,GRAD,360,18-24
21839,health,PS,Locals,Male,False,French,NOTSELECTED,24.0,18,GRAD,850,18-24
21840,health,DZ,Locals,Male,False,European,NOTSELECTED,24.0,18,GRAD,22000,18-24
21841,health,EG,Locals,Male,False,European,NOTSELECTED,24.0,18,GRAD,49000,18-24
21842,health,IQ,Locals,Male,False,European,NOTSELECTED,24.0,18,GRAD,3500,18-24
21843,health,JO,Locals,Male,False,European,NOTSELECTED,24.0,18,GRAD,2400,18-24
21844,health,KW,Locals,Male,False,European,NOTSELECTED,24.0,18,GRAD,230,18-24
21845,health,LB,Locals,Male,False,European,NOTSELECTED,24.0,18,GRAD,2500,18-24
21846,health,LY,Locals,Male,False,European,NOTSELECTED,24.0,18,GRAD,1200,18-24
21847,health,MA,Locals,Male,False,European,NOTSELECTED,24.0,18,GRAD,46000,18-24
21848,health,OM,Locals,Male,False,European,NOTSELECTED,24.0,18,GRAD,200,18-24
21849,health,QA,Locals,Male,False,European,NOTSELECTED,24.0,18,GRAD,280,18-24
21850,health,SA,Locals,Male,False,European,NOTSELECTED,24.0,18,GRAD,4900,18-24
21851,health,SO,Locals,Male,False,European,NOTSELECTED,24.0,18,GRAD,810,18-24
21852,health,TN,Locals,Male,False,European,NOTSELECTED,24.0,18,GRAD,27000,18-24
21853,health,AE,Locals,Male,False,European,NOTSELECTED,24.0,18,GRAD,1100,18-24
