,access_device,ages_ranges,audience,behavior,citizenship,genders,relationship_statuses,scholarities,timestamp,topic,location
3024,iOS,18-24,60,ALL,India,1.0,NOTSELECTED,Graduated,1489064001,health care,West Bay
3025,iOS,25-44,180,ALL,India,1.0,NOTSELECTED,Graduated,1489064001,health care,West Bay
3026,iOS,45+,0,ALL,India,1.0,NOTSELECTED,Graduated,1489064001,health care,West Bay
3027,iOS,18-24,0,ALL,India,2.0,NOTSELECTED,Graduated,1489064001,health care,West Bay
3028,iOS,25-44,60,ALL,India,2.0,NOTSELECTED,Graduated,1489064001,health care,West Bay
3029,iOS,45+,0,ALL,India,2.0,NOTSELECTED,Graduated,1489064001,health care,West Bay
3030,iOS,18-24,0,ALL,India,1.0,NOTSELECTED,No Degree,1489064001,health care,West Bay
3031,iOS,25-44,0,ALL,India,1.0,NOTSELECTED,No Degree,1489064001,health care,West Bay
3032,iOS,45+,0,ALL,India,1.0,NOTSELECTED,No Degree,1489064001,health care,West Bay
3033,iOS,18-24,0,ALL,India,2.0,NOTSELECTED,No Degree,1489064001,health care,West Bay
3034,iOS,25-44,0,ALL,India,2.0,NOTSELECTED,No Degree,1489064001,health care,West Bay
3035,iOS,45+,0,ALL,India,2.0,NOTSELECTED,No Degree,1489064001,health care,West Bay
3036,iOS,18-24,0,ALL,India,1.0,NOTSELECTED,High School,1489064001,health care,West Bay
3037,iOS,25-44,0,ALL,India,1.0,NOTSELECTED,High School,1489064001,health care,West Bay
3038,iOS,45+,0,ALL,India,1.0,NOTSELECTED,High School,1489064001,health care,West Bay
3039,iOS,18-24,0,ALL,India,2.0,NOTSELECTED,High School,1489064001,health care,West Bay
3040,iOS,25-44,0,ALL,India,2.0,NOTSELECTED,High School,1489064001,health care,West Bay
3041,iOS,45+,0,ALL,India,2.0,NOTSELECTED,High School,1489064001,health care,West Bay
3042,iOS,18-24,0,ALL,Bangladesh,1.0,NOTSELECTED,Graduated,1489064001,health care,West Bay
3043,iOS,25-44,0,ALL,Bangladesh,1.0,NOTSELECTED,Graduated,1489064001,health care,West Bay
3044,iOS,45+,0,ALL,Bangladesh,1.0,NOTSELECTED,Graduated,1489064001,health care,West Bay
3045,iOS,18-24,0,ALL,Bangladesh,2.0,NOTSELECTED,Graduated,1489064001,health care,West Bay
3046,iOS,25-44,0,ALL,Bangladesh,2.0,NOTSELECTED,Graduated,1489064001,health care,West Bay
3047,iOS,45+,0,ALL,Bangladesh,2.0,NOTSELECTED,Graduated,1489064001,health care,West Bay
3048,iOS,18-24,0,ALL,Bangladesh,1.0,NOTSELECTED,No Degree,1489064001,health care,West Bay
