,age_range,gender,citizenship,scholarity,audience,topic,country_code
7956,18-24,Male,Expats,Graduated,4100,back pain,DZ
7957,25-44,Male,Expats,Graduated,7000,back pain,DZ
7958,45+,Male,Expats,Graduated,1200,back pain,DZ
7959,18-24,Female,Expats,Graduated,1400,back pain,DZ
7960,25-44,Female,Expats,Graduated,1800,back pain,DZ
7961,45+,Female,Expats,Graduated,410,back pain,DZ
7962,18-24,Male,Expats,No Degree,3700,back pain,DZ
7963,25-44,Male,Expats,No Degree,8300,back pain,DZ
7964,45+,Male,Expats,No Degree,2100,back pain,DZ
7965,18-24,Female,Expats,No Degree,1500,back pain,DZ
7966,25-44,Female,Expats,No Degree,2500,back pain,DZ
7967,45+,Female,Expats,No Degree,700,back pain,DZ
7968,18-24,Male,Expats,High School,1600,back pain,DZ
7969,25-44,Male,Expats,High School,1800,back pain,DZ
7970,45+,Male,Expats,High School,450,back pain,DZ
7971,18-24,Female,Expats,High School,680,back pain,DZ
7972,25-44,Female,Expats,High School,460,back pain,DZ
7973,45+,Female,Expats,High School,170,back pain,DZ
7974,18-24,Male,Locals,Graduated,20000,back pain,DZ
7975,25-44,Male,Locals,Graduated,58000,back pain,DZ
7976,45+,Male,Locals,Graduated,9200,back pain,DZ
7977,18-24,Female,Locals,Graduated,13000,back pain,DZ
7978,25-44,Female,Locals,Graduated,24000,back pain,DZ
7979,45+,Female,Locals,Graduated,3500,back pain,DZ
7980,18-24,Male,Locals,No Degree,36000,back pain,DZ
7981,25-44,Male,Locals,No Degree,97000,back pain,DZ
7982,45+,Male,Locals,No Degree,20000,back pain,DZ
7983,18-24,Female,Locals,No Degree,24000,back pain,DZ
7984,25-44,Female,Locals,No Degree,39000,back pain,DZ
7985,45+,Female,Locals,No Degree,9400,back pain,DZ
7986,18-24,Male,Locals,High School,9500,back pain,DZ
7987,25-44,Male,Locals,High School,18000,back pain,DZ
7988,45+,Male,Locals,High School,3700,back pain,DZ
7989,18-24,Female,Locals,High School,6900,back pain,DZ
7990,25-44,Female,Locals,High School,6600,back pain,DZ
7991,45+,Female,Locals,High School,1700,back pain,DZ
7992,18-24,Male,Expats,Graduated,280,back pain,BH
7993,25-44,Male,Expats,Graduated,860,back pain,BH
7994,45+,Male,Expats,Graduated,140,back pain,BH
7995,18-24,Female,Expats,Graduated,20,back pain,BH
7996,25-44,Female,Expats,Graduated,310,back pain,BH
7997,45+,Female,Expats,Graduated,330,back pain,BH
7998,18-24,Male,Expats,No Degree,180,back pain,BH
7999,25-44,Male,Expats,No Degree,540,back pain,BH
8000,45+,Male,Expats,No Degree,160,back pain,BH
8001,18-24,Female,Expats,No Degree,20,back pain,BH
8002,25-44,Female,Expats,No Degree,260,back pain,BH
8003,45+,Female,Expats,No Degree,290,back pain,BH
8004,18-24,Male,Expats,High School,80,back pain,BH
8005,25-44,Male,Expats,High School,250,back pain,BH
8006,45+,Male,Expats,High School,40,back pain,BH
8007,18-24,Female,Expats,High School,20,back pain,BH
8008,25-44,Female,Expats,High School,140,back pain,BH
8009,45+,Female,Expats,High School,160,back pain,BH
8010,18-24,Male,Locals,Graduated,20,back pain,BH
8011,25-44,Male,Locals,Graduated,40,back pain,BH
8012,45+,Male,Locals,Graduated,20,back pain,BH
8013,18-24,Female,Locals,Graduated,20,back pain,BH
8014,25-44,Female,Locals,Graduated,20,back pain,BH
8015,45+,Female,Locals,Graduated,20,back pain,BH
8016,18-24,Male,Locals,No Degree,20,back pain,BH
8017,25-44,Male,Locals,No Degree,30,back pain,BH
8018,45+,Male,Locals,No Degree,20,back pain,BH
8019,18-24,Female,Locals,No Degree,20,back pain,BH
8020,25-44,Female,Locals,No Degree,20,back pain,BH
8021,45+,Female,Locals,No Degree,20,back pain,BH
8022,18-24,Male,Locals,High School,20,back pain,BH
8023,25-44,Male,Locals,High School,20,back pain,BH
8024,45+,Male,Locals,High School,20,back pain,BH
8025,18-24,Female,Locals,High School,20,back pain,BH
8026,25-44,Female,Locals,High School,20,back pain,BH
8027,45+,Female,Locals,High School,20,back pain,BH
8028,18-24,Male,Expats,Graduated,560,back pain,EG
8029,25-44,Male,Expats,Graduated,2300,back pain,EG
8030,45+,Male,Expats,Graduated,1100,back pain,EG
8031,18-24,Female,Expats,Graduated,530,back pain,EG
8032,25-44,Female,Expats,Graduated,1500,back pain,EG
8033,45+,Female,Expats,Graduated,810,back pain,EG
8034,18-24,Male,Expats,No Degree,260,back pain,EG
8035,25-44,Male,Expats,No Degree,840,back pain,EG
8036,45+,Male,Expats,No Degree,810,back pain,EG
8037,18-24,Female,Expats,No Degree,200,back pain,EG
8038,25-44,Female,Expats,No Degree,660,back pain,EG
8039,45+,Female,Expats,No Degree,810,back pain,EG
8040,18-24,Male,Expats,High School,460,back pain,EG
8041,25-44,Male,Expats,High School,460,back pain,EG
8042,45+,Male,Expats,High School,230,back pain,EG
8043,18-24,Female,Expats,High School,420,back pain,EG
8044,25-44,Female,Expats,High School,340,back pain,EG
8045,45+,Female,Expats,High School,210,back pain,EG
8046,18-24,Male,Locals,Graduated,12000,back pain,EG
8047,25-44,Male,Locals,Graduated,48000,back pain,EG
8048,45+,Male,Locals,Graduated,22000,back pain,EG
8049,18-24,Female,Locals,Graduated,17000,back pain,EG
8050,25-44,Female,Locals,Graduated,46000,back pain,EG
8051,45+,Female,Locals,Graduated,19000,back pain,EG
8052,18-24,Male,Locals,No Degree,5900,back pain,EG
8053,25-44,Male,Locals,No Degree,25000,back pain,EG
8054,45+,Male,Locals,No Degree,26000,back pain,EG
8055,18-24,Female,Locals,No Degree,8700,back pain,EG
8056,25-44,Female,Locals,No Degree,25000,back pain,EG
8057,45+,Female,Locals,No Degree,33000,back pain,EG
8058,18-24,Male,Locals,High School,8500,back pain,EG
8059,25-44,Male,Locals,High School,9500,back pain,EG
8060,45+,Male,Locals,High School,5000,back pain,EG
8061,18-24,Female,Locals,High School,12000,back pain,EG
8062,25-44,Female,Locals,High School,7600,back pain,EG
8063,45+,Female,Locals,High School,4200,back pain,EG
8064,18-24,Male,Expats,Graduated,1900,back pain,IQ
8065,25-44,Male,Expats,Graduated,3900,back pain,IQ
8066,45+,Male,Expats,Graduated,690,back pain,IQ
8067,18-24,Female,Expats,Graduated,90,back pain,IQ
8068,25-44,Female,Expats,Graduated,390,back pain,IQ
8069,45+,Female,Expats,Graduated,120,back pain,IQ
8070,18-24,Male,Expats,No Degree,1200,back pain,IQ
8071,25-44,Male,Expats,No Degree,1900,back pain,IQ
8072,45+,Male,Expats,No Degree,530,back pain,IQ
8073,18-24,Female,Expats,No Degree,170,back pain,IQ
8074,25-44,Female,Expats,No Degree,310,back pain,IQ
8075,45+,Female,Expats,No Degree,140,back pain,IQ
8076,18-24,Male,Expats,High School,1000,back pain,IQ
8077,25-44,Male,Expats,High School,1100,back pain,IQ
8078,45+,Male,Expats,High School,230,back pain,IQ
8079,18-24,Female,Expats,High School,60,back pain,IQ
8080,25-44,Female,Expats,High School,120,back pain,IQ
8081,45+,Female,Expats,High School,40,back pain,IQ
8082,18-24,Male,Locals,Graduated,20000,back pain,IQ
8083,25-44,Male,Locals,Graduated,46000,back pain,IQ
8084,45+,Male,Locals,Graduated,9400,back pain,IQ
8085,18-24,Female,Locals,Graduated,1500,back pain,IQ
8086,25-44,Female,Locals,Graduated,7600,back pain,IQ
8087,45+,Female,Locals,Graduated,2700,back pain,IQ
8088,18-24,Male,Locals,No Degree,27000,back pain,IQ
8089,25-44,Male,Locals,No Degree,40000,back pain,IQ
8090,45+,Male,Locals,No Degree,16000,back pain,IQ
8091,18-24,Female,Locals,No Degree,3300,back pain,IQ
8092,25-44,Female,Locals,No Degree,8400,back pain,IQ
8093,45+,Female,Locals,No Degree,5000,back pain,IQ
8094,18-24,Male,Locals,High School,14000,back pain,IQ
8095,25-44,Male,Locals,High School,15000,back pain,IQ
8096,45+,Male,Locals,High School,3300,back pain,IQ
8097,18-24,Female,Locals,High School,1300,back pain,IQ
8098,25-44,Female,Locals,High School,2300,back pain,IQ
8099,45+,Female,Locals,High School,830,back pain,IQ
8100,18-24,Male,Expats,Graduated,2600,back pain,JO
8101,25-44,Male,Expats,Graduated,7900,back pain,JO
8102,45+,Male,Expats,Graduated,1900,back pain,JO
8103,18-24,Female,Expats,Graduated,1300,back pain,JO
8104,25-44,Female,Expats,Graduated,4100,back pain,JO
8105,45+,Female,Expats,Graduated,1400,back pain,JO
8106,18-24,Male,Expats,No Degree,2800,back pain,JO
8107,25-44,Male,Expats,No Degree,8300,back pain,JO
8108,45+,Male,Expats,No Degree,2700,back pain,JO
8109,18-24,Female,Expats,No Degree,1200,back pain,JO
8110,25-44,Female,Expats,No Degree,3600,back pain,JO
8111,45+,Female,Expats,No Degree,2300,back pain,JO
8112,18-24,Male,Expats,High School,1800,back pain,JO
8113,25-44,Male,Expats,High School,2600,back pain,JO
8114,45+,Male,Expats,High School,680,back pain,JO
8115,18-24,Female,Expats,High School,1200,back pain,JO
8116,25-44,Female,Expats,High School,1400,back pain,JO
8117,45+,Female,Expats,High School,610,back pain,JO
8118,18-24,Male,Locals,Graduated,7500,back pain,JO
8119,25-44,Male,Locals,Graduated,20000,back pain,JO
8120,45+,Male,Locals,Graduated,5700,back pain,JO
8121,18-24,Female,Locals,Graduated,5100,back pain,JO
8122,25-44,Female,Locals,Graduated,15000,back pain,JO
8123,45+,Female,Locals,Graduated,3200,back pain,JO
8124,18-24,Male,Locals,No Degree,7500,back pain,JO
8125,25-44,Male,Locals,No Degree,19000,back pain,JO
8126,45+,Male,Locals,No Degree,9900,back pain,JO
8127,18-24,Female,Locals,No Degree,5300,back pain,JO
8128,25-44,Female,Locals,No Degree,16000,back pain,JO
8129,45+,Female,Locals,No Degree,8300,back pain,JO
8130,18-24,Male,Locals,High School,5200,back pain,JO
8131,25-44,Male,Locals,High School,7000,back pain,JO
8132,45+,Male,Locals,High School,2400,back pain,JO
8133,18-24,Female,Locals,High School,4500,back pain,JO
8134,25-44,Female,Locals,High School,5100,back pain,JO
8135,45+,Female,Locals,High School,1500,back pain,JO
8136,18-24,Male,Expats,Graduated,580,back pain,KW
8137,25-44,Male,Expats,Graduated,4900,back pain,KW
8138,45+,Male,Expats,Graduated,890,back pain,KW
8139,18-24,Female,Expats,Graduated,220,back pain,KW
8140,25-44,Female,Expats,Graduated,5500,back pain,KW
8141,45+,Female,Expats,Graduated,1500,back pain,KW
8142,18-24,Male,Expats,No Degree,950,back pain,KW
8143,25-44,Male,Expats,No Degree,4400,back pain,KW
8144,45+,Male,Expats,No Degree,1100,back pain,KW
8145,18-24,Female,Expats,No Degree,270,back pain,KW
8146,25-44,Female,Expats,No Degree,4000,back pain,KW
8147,45+,Female,Expats,No Degree,1400,back pain,KW
8148,18-24,Male,Expats,High School,230,back pain,KW
8149,25-44,Male,Expats,High School,1500,back pain,KW
8150,45+,Male,Expats,High School,260,back pain,KW
8151,18-24,Female,Expats,High School,110,back pain,KW
8152,25-44,Female,Expats,High School,2300,back pain,KW
