,Unnamed: 0.1,ages_ranges,genders,behavior,scholarities,audience,timestamp,topic,location
1224,1224,18-24,1.0,Expats,Graduated,11000,1485789793.38,health care,DZ
1225,1225,25-44,1.0,Expats,Graduated,14000,1485789793.38,health care,DZ
1226,1226,45+,1.0,Expats,Graduated,2100,1485789793.38,health care,DZ
1227,1227,18-24,2.0,Expats,Graduated,5900,1485789793.38,health care,DZ
1228,1228,25-44,2.0,Expats,Graduated,5400,1485789793.38,health care,DZ
1229,1229,45+,2.0,Expats,Graduated,1000,1485789793.38,health care,DZ
1230,1230,18-24,1.0,Expats,No Degree,6400,1485789793.38,health care,DZ
1231,1231,25-44,1.0,Expats,No Degree,12000,1485789793.38,health care,DZ
1232,1232,45+,1.0,Expats,No Degree,2600,1485789793.38,health care,DZ
1233,1233,18-24,2.0,Expats,No Degree,3500,1485789793.38,health care,DZ
1234,1234,25-44,2.0,Expats,No Degree,5400,1485789793.38,health care,DZ
1235,1235,45+,2.0,Expats,No Degree,1300,1485789793.38,health care,DZ
1236,1236,18-24,1.0,Expats,High School,4000,1485789793.38,health care,DZ
1237,1237,25-44,1.0,Expats,High School,3400,1485789793.38,health care,DZ
1238,1238,45+,1.0,Expats,High School,640,1485789793.38,health care,DZ
1239,1239,18-24,2.0,Expats,High School,2500,1485789793.38,health care,DZ
1240,1240,25-44,2.0,Expats,High School,1300,1485789793.38,health care,DZ
1241,1241,45+,2.0,Expats,High School,440,1485789793.38,health care,DZ
1242,1242,18-24,1.0,Locals,Graduated,49000,1485789793.38,health care,DZ
1243,1243,25-44,1.0,Locals,Graduated,99000,1485789793.38,health care,DZ
1244,1244,45+,1.0,Locals,Graduated,14000,1485789793.38,health care,DZ
1245,1245,18-24,2.0,Locals,Graduated,58000,1485789793.38,health care,DZ
1246,1246,25-44,2.0,Locals,Graduated,82000,1485789793.38,health care,DZ
1247,1247,45+,2.0,Locals,Graduated,8800,1485789793.38,health care,DZ
1248,1248,18-24,1.0,Locals,No Degree,53000,1485789793.38,health care,DZ
1249,1249,25-44,1.0,Locals,No Degree,120000,1485789793.38,health care,DZ
1250,1250,45+,1.0,Locals,No Degree,22000,1485789793.38,health care,DZ
1251,1251,18-24,2.0,Locals,No Degree,57000,1485789793.38,health care,DZ
1252,1252,25-44,2.0,Locals,No Degree,82000,1485789793.38,health care,DZ
1253,1253,45+,2.0,Locals,No Degree,15000,1485789793.38,health care,DZ
1254,1254,18-24,1.0,Locals,High School,22000,1485789793.38,health care,DZ
1255,1255,25-44,1.0,Locals,High School,27000,1485789793.38,health care,DZ
1256,1256,45+,1.0,Locals,High School,4900,1485789793.38,health care,DZ
1257,1257,18-24,2.0,Locals,High School,27000,1485789793.38,health care,DZ
1258,1258,25-44,2.0,Locals,High School,18000,1485789793.38,health care,DZ
1259,1259,45+,2.0,Locals,High School,3900,1485789793.38,health care,DZ
1260,1260,18-24,1.0,Expats,Graduated,6500,1485789793.38,health care,BH
1261,1261,25-44,1.0,Expats,Graduated,30000,1485789793.38,health care,BH
1262,1262,45+,1.0,Expats,Graduated,4300,1485789793.38,health care,BH
1263,1263,18-24,2.0,Expats,Graduated,1600,1485789793.38,health care,BH
1264,1264,25-44,2.0,Expats,Graduated,14000,1485789793.38,health care,BH
1265,1265,45+,2.0,Expats,Graduated,2700,1485789793.38,health care,BH
1266,1266,18-24,1.0,Expats,No Degree,7800,1485789793.38,health care,BH
1267,1267,25-44,1.0,Expats,No Degree,26000,1485789793.38,health care,BH
1268,1268,45+,1.0,Expats,No Degree,4900,1485789793.38,health care,BH
1269,1269,18-24,2.0,Expats,No Degree,2100,1485789793.38,health care,BH
